"Código";"Descripción"
"01";"JEAN"
"02";"PANTALON"
"03";"JOGGING"
"04";"BERMUDA"
"05";"CALZA"
"06";"SHORT"
"07";"POLLERA"
"08";"JOGGER"
"09";"TOP"
"10";"REMERA M/C"
"11";"REMERA M/L"
"12";"CHOMBA M/C"
"13";"CHOMBA M/L"
"14";"CAMISA M/C"
"15";"CAMISA M/L"
"16";"MUSCULOSA"
"17";"REMERA C/CAPUCHA"
"18";"POLERA"
"19";"VESTIDO"
"20";"BLUSA"
"21";"BUZOS"
"22";"CANGUROS"
"23";"SWEATER"
"24";"CHALECO"
"25";"CAMPERA PUNTO"
"26";"CAMPERA ABRIGO"
"27";"CONJUNTO"
"28";"TRAJE DE BAÑO"
"29";"TRAJES"
"30";"PIJAMA"
"31";"SLIP"
"32";"BOXER"
"33";"MEDIA"
"34";"CINTOS"
"35";"RELOJ"
"36";"MOCHILA"
"37";"BOLSO / bandolera"
"38";"RIÑONERA"
"39";"GORRA"
"40";"BUFANDA - CUELLO"
"41";"BILLETERA"
"42";"CORB MOÑO tirad"
"43";"GUANTE"
"44";"PERFUME"
"45";"CALZADO"
"46";"CAMPERA VERANO"
"47";"GORROS"
"48";"TAPADO"
"49";"CHALECO VERANO"
"99";"VARIOS"
"THJ0142886";"02"
